BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,,Anime Lo-Fi,,,,,,,,,,,,,Favorable,Bombastic,,,,,,,
,,,,,,,Anime Piano,,,,,,,,,,,,,Fearless,Booming,,,,,,,
,,,,,,,Anime Rap,,,,,,,,,,,,,Feel Good,Bossa Nova,,,,,,,
,,,,,,,Anime Rock,,,,,,,,,,,,,Female,Bouncy,,,,,,,
,,,,,,,Anime Score,,,,,,,,,,,,,Festive,Boxing,,,,,,,
,,,,,,,Ann Arbor Indie,,,,,,,,,,,,,Fiery,Brash,,,,,,,
,,,,,,,Anthem,,,,,,,,,,,,,Flirtatious,Brass Ensemble,,,,,,,
,,,,,,,Anthem Emo,,,,,,,,,,,,,Flowing,Brassy,,,,,,,
,,,,,,,Anthem Worship,,,,,,,,,,,,,Focused,Brave,,,,,,,
,,,,,,,Anti-Folk,,,,,,,,,,,,,Folksy,Break Beat,,,,,,,
,,,,,,,Antideutsche,,,,,,,,,,,,,Forceful,Breakbeat,,,,,,,
,,,,,,,Antilliaanse Rap,,,,,,,,,,,,,Fortunate,Breaks,,,,,,,
,,,,,,,Antiviral Pop,,,,,,,,,,,,,Forward,Breezy,,,,,,,
,,,,,,,Apostolic Worship,,,,,,,,,,,,,Forward Going,Bride,,,,,,,
,,,,,,,Appalachian Folk,,,,,,,,,,,,,Forward Looking,Bright,,,,,,,
,,,,,,,Arab Alternative,,,,,,,,,,,,,Frantic,Broken Hearted,,,,,,,
,,,,,,,Arab Electronic,,,,,,,,,,,,,Freaky,Brooding,,,,,,,
,,,,,,,Arab Folk,,,,,,,,,,,,,Free,Broody,,,,,,,
,,,,,,,Arab Groove,,,,,,,,,,,,,Freedom,Brutal,,,,,,,
,,,,,,,Arab Metal,,,,,,,,,,,,,Frenetic,Bubbly,,,,,,,
,,,,,,,Arab Pop,,,,,,,,,,,,,Frenzy,Build Up,,,,,,,
,,,,,,,Arab Trap,,,,,,,,,,,,,Fresh,Building,,,,,,,
,,,,,,,Arabesk,,,,,,,,,,,,,Friendly,Bullet,,,,,,,
,,,,,,,Arabic Hip Hop,,,,,,,,,,,,,Full On,Bumpers,,,,,,,
,,,,,,,Arabic Instrumental,,,,,,,,,,,,,Fun,Buoyant,,,,,,,
,,,,,,,Arabic Jazz,,,,,,,,,,,,,Fun Time,Business,,,,,,,
,,,,,,,Argentine Alternative Rock,,,,,,,,,,,,,Funky,Business Presentation,,,,,,,
,,,,,,,Argentine Ambient,,,,,,,,,,,,,Future,Bustling,,,,,,,
,,,,,,,Argentine Hardcore,,,,,,,,,,,,,Futuristic,Calm,,,,,,,
,,,,,,,Argentine Heavy Metal,,,,,,,,,,,,,Gentle,Candlelight Dinner,,,,,,,
,,,,,,,Argentine Hip Hop,,,,,,,,,,,,,Ghetto,Captivating,,,,,,,
,,,,,,,Argentine Indie,,,,,,,,,,,,,Gladness,Car Racing,,,,,,,
,,,,,,,Argentine Indie Rock,,,,,,,,,,,,,Glamorous,Care Free,,,,,,,
,,,,,,,Argentine Jazz,,,,,,,,,,,,,Glamour,Career,,,,,,,
,,,,,,,Argentine Metal,,,,,,,,,,,,,Glitz,Carefree,,,,,,,
,,,,,,,Argentine Punk,,,,,,,,,,,,,Global,Caring,,,,,,,
,,,,,,,Argentine Reggae,,,,,,,,,,,,,Gloom,Carnival,,,,,,,
,,,,,,,Argentine Rock,,,,,,,,,,,,,Glossy,Cars,,,,,,,
,,,,,,,Argentine Telepop,,,,,,,,,,,,,Going Forward,Cartoon,,,,,,,
,,,,,,,Arizona Punk,,,,,,,,,,,,,Good Times,Castle,,,,,,,
,,,,,,,Arkansas Country,,,,,,,,,,,,,Graceful,Casual,,,,,,,
